Flop,Hand,Weight IP,Matchups,IP Equity,IP EV,IP EQR,BET 1101 freq,BET 1101 EV,BET 875 freq,BET 875 EV,BET 438 freq,BET 438 EV,CHECK freq,CHECK EV
Tc 8c 5d,AcJs,0.720000029,124533172,39.2501622,550.049927,80.079731237,3.2909663633,547.664673,51.098780858,550.570984,29.971612874,549.469116,15.638639905,549.960205
Tc 8c 5d,AcQs,1,171516609,41.5276796,517.464294,71.204046345,2.056585797,515.765564,59.224168309,517.955994,26.082493039,516.592957,12.636752854,517.232239
Tc 8c 5d,AcKs,1,172685812,42.7007556,531.155701,71.080134102,1.4711346047,530.058655,49.039782726,531.654541,32.643974207,530.507202,16.845108462,531.054016
Tc 8c 5d,4d4c,0.00499999989,898.302307,40.7017142,525.526062,73.780825393,0,469.806091,0,474.614166,0,506.220215,100,525.526062
Tc 8c 5d,6d6c,0.504999995,89582.7656,51.015228,617.745422,69.194512666,0.19080477025,617.579468,9.5176574446,618.020447,34.17638581,617.37207,56.115151976,617.926392
Tc 8c 5d,7d7c,0.894999981,159192531,57.0001125,707.191895,70.89629065,0.10264478129,707.14563,17.577054953,707.555298,38.462960876,706.806274,43.857339389,707.384094
Tc 8c 5d,7d6d,0.294999987,52156.5469,40.6093866,1071.30103,150.74643288,0.36034600304,1071.09741,48.772872234,1071.4812,25.39883292,1070.89575,25.467948843,1071.36072
Tc 8c 5d,8d7d,0.0949999988,16821.3223,61.7065132,995.891113,92.223755077,3.0973519594,994.964111,74.959149799,996.018921,15.224189916,995.378662,6.7193083254,996.046082
Tc 8c 5d,9d9c,1,173080109,66.724807,979.201355,83.858411374,0.37371758635,978.937134,35.959867606,979.885132,36.874871164,978.530945,26.791543644,979.208069
Tc 8c 5d,Td8d,0.0850000009,14943.1318,81.7112327,2173.48291,151.99749083,11.94727001,2165.91772,78.185281249,2174.61011,0,2162.90796,9.8674487408,2173.70068
Tc 8c 5d,Td9d,1,172308391,69.4839954,1133.47058,93.21534701,1.2596226398,1132.4502,43.156354731,1134.12805,35.335043515,1132.76611,20.248979114,1133.35986
Tc 8c 5d,JdJc,1,178307891,75.7345617,1570.21228,118.47486007,2.0039779846,1568.47046,82.515054338,1570.33606,15.480967678,1569.77014,0,1548.17334
Tc 8c 5d,Jd8d,0.129999995,23017.4453,64.0638173,1054.37781,94.047097271,0.89418661027,1052.14648,59.658536909,1054.58862,20.554565273,1053.89246,18.892711208,1054.34241
Tc 8c 5d,Jd9d,0.814999998,141825016,45.2486187,1150.17737,145.25177349,0.4148839262,1149.94421,44.402557977,1150.56079,36.52504102,1149.7489,18.657517076,1150.10583
Tc 8c 5d,JdTd,1,175852,71.2613642,1225.03357,98.232638501,0.38049858057,1224.73755,40.31329989,1225.72668,37.872114879,1224.33154,21.434086651,1224.97217
Tc 8c 5d,QdJc,0.0250000004,4414.81348,37.5678271,895.88092,136.2687155,2.7389213369,894.878601,52.387487464,896.271606,44.873591199,895.484436,0,880.261597
Tc 8c 5d,QdQc,1,175216141,76.4935791,1601.37976,119.6275765,1.062771065,1600.23743,80.481138242,1601.56274,18.456090693,1600.64294,0,1598.60168
Tc 8c 5d,Qd9d,375,64370.8906,35.2526218,766.986633,124.324959,0,763.757629,10.782822924,767.223083,42.160542894,766.726013,47.056634181,767.1651
Tc 8c 5d,QdTd,1,174662547,71.9211102,1258.69141,100.00571908,0.7553964313,1257.97388,49.159823039,1259229,33.718236788,1257.99683,16.366543742,1258.53491
Tc 8c 5d,QdJd,1,176247.5,37.21551,828.876709,127.27054761,0.76428072233,828.424133,59.635168181,829.26239,36.186287498,828.251648,3.4142635986,828.849304
Tc 8c 5d,QdJh,0.0250000004,4376.77344,34.137255,719.856995,120.4979294,0,708.710754,0,715.727478,0,716.241028,100,719.856995
Tc 8c 5d,QdJs,0.0250000004,4376.77197,34.1372758,719.856995,120.49785598,0,708.710693,0,715.7276,0,716.241028,100,719.856995
Tc 8c 5d,KdJc,0.219999999,39251.3633,30.0387889,501.38562,95.378701693,6.1081721925,498.935669,55.066264941,501.759979,22.69569956,501.201569,16.129863306,501.292694
Tc 8c 5d,KdQc,0.764999986,135745328,31.0049415,468.933502,86.425578691,0.50775679459,468.285126,51.76771038,469.491394,38.152412584,468.212524,9.5721202414,468.820923
Tc 8c 5d,KdKc,1,177939484,76.5497148,1588.48511,118.57729052,0.40435384693,1588.05774,57.305585141,1589.07654,32.572173897,1587.49365,9.7178871159,1588328
Tc 8c 5d,Kd6d,0.119999997,21223.0781,24.1057009,404.630035,95.918041884,1.5743086265,403.83606,55.953971598,404.982697,31.793301668,404.060822,10.678418107,404.591156
Tc 8c 5d,Kd8d,0.0500000007,8854.99512,63.0466163,1028.64697,93.232326026,0,1015.50574,0,1024.56934,48.11494022,1028.49158,51.88505978,1028.79016
Tc 8c 5d,Kd9d,1,174179062,27.7089298,450.5383,92.912450607,0.28613206805,450.308105,61.020483601,451.096985,31.589990853,449.473175,7.1033934785,450.480865
Tc 8c 5d,KdTd,1,175791156,72.2128391,1318.28809,104.31766558,0.41560601356,1317.93701,47.577880884,1318.97522,38.81454228,1317.44592,13.191970823,1318.29248
